,Header,Review,Rating,Date
1637,It's Disneyland!,what can i say it s flippin disneyland the happiest place on earth i ve probably been there times and it never gets old huge biggest advise you can download their official app do it it will give you wait times at all the attractions also you can order food in advance there is an outdoor restaurant in adventureland that has skewers which are great the wait time in line was minutes i ordered in advance on the app showed up and my wait was minutes also pay the extra bucks for the ability to get fast passes through the app i won t explain it here google it but if you re organized it helps a ton we probably got on more rides per day than we would have otherwise you can run around and get fast passes but the app is the way to go ,5,2018-11-25
1638,Disney Vacation,not much needed to say here nobody does it like disney my family loves disneyland of course there us the down sides like crowds long lines and expensive food and tickets but hey this is disneyland and it sells itself ,5,2018-11-25
1639,Grandpa,how can anything beat disneyland every detail is so incredible there is nothing like it it is magical ,5,2018-11-25
1640,Memories!,disneyland is always one of the best trip for our families but i am sure i am not back on thanksgiving weekend over there it was so busy more than summer time ,4,2018-11-25
1641,Great place but some visitors make the line ups very stressful!!,what can i say it s disneyland great place to visit even just to walk around i do like rides so i recommend those for sure line ups were insane and the pass didn t help because you have to wait so long to get on a ride and get can t another pass in the meantime we wasted our money on that one there were also many groups who would have a couple people in the line up and when they got closer to the front all of their other friends and family would budge in front and join them that really shouldn t be allowed and we were bumped back over and over in the line ups because of that argh ,5,2018-11-24
1642,Magical,visited disneyland this morning it is absolutely magic everything is so lovely and so clean the cast members are so incredibly kind helpful and patient we went to a character breakfast the food was yummy best of all the characters came to your table for photos no lines ,5,2018-11-23
1643,Crazy crowded and wait times.,crowds are really bad with wait times between minutes for most of the popular attractions it s still better that california adventure that has wait times between minutes and no fast passes available after noon disney oversells tickets to the extend that it cannot accommodate their visitors at all and just take your money and make you wait hours in lines and you see little in return shameful ,3,2018-11-23
1644,An Always Changing Park,we came here right before thanksgiving and it was amazing to see the park decorated for the holidays it was neat to see how they transformed everything and put the holiday spin on rides shops and restaurants it is important to download the disneyland app the app allows you to add fastpass tickets additional charge to add this feature order food from your app see wait times park maps etc it was so handy for us and made our trip enjoyable you may also spot these fuelrod machines get one for you get a power bank that you can use to charge your phone when you are done simply find a machine and swap out the empty rod for a new one no charge for you overall disneyland is a great place to go know that you will be spending a lot of merchandise and food but it is worth it take a lot of breaks throughout the day ride the train or monorail for a good break and remember you are not going to see do everything in one day be reasonable and have fun ,5,2018-11-23
1645,Mickey's 90th Birthday!,we got the day hopper to enjoy both parks the lines were ridiculous due to it being mickey s birthday we had no idea we thought it would be a good time to go before christmas vacation however we made the best of it by arriving early and staying late you can bring snacks to save money and time while waiting in line also plan your day ahead of time by reading blogs and reviews and take advantage of the fast passes be patient kind ,4,2018-11-22
1646,Great family fun with excellent service,disney s attention to detail and strive for great customer satisfaction is always evident when we visit the parks highly recommend for any disney lovers and families with young kids the magic that the kids have in their eyes when in the park is amazing ,5,2018-11-21
1647,HAPPIEST PLACE ON EARTH!,we had a wonderful days spent park hopping between disney and california parks both so much fun definitely worth getting the fast passes and also going into the single riders lane is worth cutting the wait time down the christmas lights and decorations were amazing along with the beautiful fireworks displays and if you havent tasted eggnog before its a must ,5,2018-11-20
1648,Happiest Place On Earth,believe it beginning when you get in the gates take the train to get a tracks eye view of where and what you want to visit stroll down main street see where walt s apartment is don t forget to a ride on walt s favorite ride before leaving sit down and soak in the experience ,5,2018-11-19
1649,Now they steal your face,you wrote a review for disneyland park minutes ago you buy a ticket but when you get to the entry they require you to have your photo taken now disney s facial recognition database has your picture which they can use or sell go to universal or go to the beach also no discounts for nighttime entry as they used to means you pay roughly per ride since in hours you might get on rides if you are lucky no fast pass if you enter at night because they already gave the slots away earlier ,1,2018-11-19
1650,Disappointed in Customer service and crowds,don t get me wrong i m a huge fan of disneyland but our last experience was extremely frustrating not only was it insanely crowded but we had a three day park hopper pass and on the app it said we had the option to upgrade it to an annual pass by november th we even checked with guest services and they said we could upgrade it until november th at home i went on the app on november th to upgrade our tickets and when i clicked on the upgrade option it had trouble loading then all our tickets disappeared i called disneyland guest services to see what happened and they said i had to upgrade it by the last day of ticket use and there was nothing they could do well that s not what the app said or guest services at the park they were absolutely not helpful at all had the app or guest services said i had until our last day of use to upgrade my tickets you better believe i would ve done it by then but it was very deceitful and the supervisor at guest services didn t make it right at all he said i could pay the full price for annual passes now right after i spent tons of money on day park hopper passes for my family just a few days ago yeah right so beware if you re planning on upgrading your pass to a season pass the date they put on there is very deceitful you have to do it by the last day you re in the park now i know but it s too late and i m very disappointed in the customer service ,1,2018-11-19
1651,AMAZING!,we took our eldest niece here from the moment we waited in line to enter the park we knew this was going to be an experience we ll never forget we did spend a few hours here ash zoe went on a few rides the souvenir shops are plenty there is quality stuff you can buy the star wars section was also great so much different star wars merch to buy in the store we cant wait til when we re back over in la we re going back to disneyland especially to experience galaxy s edge there is alot of walking so be prepared you will need a few days to experience the park fully ,5,2018-11-18
1652,Honest Reveiw,disneyland is amazing it really is i travelled from australia to take my princess loving year old and she has loved every minute the christmas decorations and parades are incredible we purchased the fast passes which are good however not great if you plan to arrive to the park dead on am then there would be advantages you can t pre book any rides on the app until you ve been scanned in at entry we arrived at and queued for quite some time at the bag check by this time ride availability for fast pass on popular rides can t be booked until pm and you can only book one ride at a time so you either risk missing out on a popular ride or just book as many as you can that are available sooner and sometimes that s not many or line up for minutes we were quite annoyed to have booked the indiana jones ride our first day my dad wanted to go on it more than anything so we booked it for the earliest available which was pm and had done this at am meaning we couldn t book others when it was finally our turn the ride has technical troubles and wasn t operating that was frustrating to say the least there are hundreds of strollers and powered scooters to which most of them own the pathways this is not at all disneyland s fault but we were sick of being rammed by both and constantly stepping aside for the arrogant people operating them who have a massive sense of entitlement if you don t adhere to their conditions you will simply get mowed down without them even batting an eyelid my last gripe is that i expected to see characters all day my daughter wanted to meet so many however only certain ones come out everyday for a short amount of time there are massive lines to get your photo and for majority of the them we would get to the back of the line only to be told sorry taking no more come back at x time so that was surprising and disheartening to us as being disneyland we just thought all the characters are out all day to the families with children who are frozen obsessed like my daughter you won t see them at disneyland you have to go to california adventure park clever strategic move by disneyland overall a wonderful time was had and beautiful merchandise is available especially at christmas very expensive but that s to be expected i wanted to provide an honest review so other families travelling quite some distance can know that to expect and possibly not have the moments of disappointment download the disneyland app and familiarise yourself with it prior to arriving once you can work it it s great for getting photos scanned straight to your device and for finding out character locations and times special mention to cinderella who was near the entrance around pm on saturday nov she spoke to my daughter for a while and actually got down on bended knee to her level and had a full conversation with her prior to the photo this absolutely made my daughters day and was just so beautiful of her to do for me to capture thank you cinderella x my daughter and i would definitely return but i would endeavour to find out if there is a quiet season and go then my parents are in their late s early s and won t return too hectic for their liking overall a great memorable experience ,4,2018-11-18
1653,Disney still manages to impress!,i have been visiting disneyland since i was a young child i go back to the days of the e ticket just spent two very pleasant days hiding from the smoke in northern california the crowds have been lighter than anticipated the rides fun the food and snacks pricey but all good it has been years of great experiences ,5,2018-11-18
1654,Magical.,enjoyed halloween in disneyland first halloween experience for my grand daughter and she had an amasing time ,5,2018-11-18
1655,Great Time with the Grandkids!,disney has upped their game and kept the park fresh with new features particularly around the holiday season if you plan your day you can get good value from your fastpass one complaint was that the castle area was extremely congested during parades when foot path traffic is limited even for those not interested in the parade lastly disney needs to upgrade the food and dining options to something besides dry burgers and sandwiches there is one good mexican place in frontierland the security operation is appropriate but understaffed long lines await you before entering the park ,4,2018-11-17
1656,Just Ok,obviously disneyworld is the best but for the limited time i had this was a must do on my list people were fantastic and i felt like there was more shopping than rides food was good but i highly recommend the fast pass unless you like waiting on long lines lol,3,2018-11-17
1657,Halloween 2018,visited in october spent days at the park most visitors you only need days to see both parks i am just a disneyland nerd so longer the better we attended the halloween party this trip which i was a little disppointed about it seemed very busy for a limited ticket party up the prices and reduce the numbers if possible please disney the park is a classic the original disney park its the happiest place on earth the cast members do their best the staff be prepared for crowds lines and strollers and you will do ok pay and use maxpass its under used poorly used by a lot of people so time can be saved using it ,4,2018-11-17
1658,Disappointment ! Not suited for adults,the park really disappointed me all the rides are for little kids and not for adults at all we actually upgraded the tickets a person and went to the other park adventure it costs us a person the parade was great and there wasn t light pardae show the queue line is busy we waited minutes to ride,2,2018-11-17
1659,Perfect Family Vacation,somehow disneyland is even more magical at christmas i feel like we could spend a month here and still not see and do everything so we ll just happily keep coming back probably when the star wars land is finished ,5,2018-11-16
1660,"The Happiest Palce on Earth, indeed!",disneyland is an amazing place i have been times as an adult with just my sister and i with my entire family from grandparents to grandkids and all in between and finally to just my husband and i for halloween while always a busy place it s totally worth is especially for the special times of halloween and christmas ,5,2018-11-16
1661,was nice but just to busy,we visited in october we found it just to busy and didn t really enjoyed it like the other parks we went to the fast pass helps a bit but not a fan of the wait time between doing another fast pass i had been to disneyland years ago so when i ask the kids what they thought of disney that give it a just ok as they like universal and dollywood a lot better but they loved the halloween night we went to ,4,2018-11-15
1662,Wonderful time,i decided to visit disney on nov to stay away from the crowd a little bit though it is still busy it is much better than my last time in orlando just minutes waiting in line i love it s a small world journey with christmas theme and christmas parade the firework is amazing though i wish it could last longer the snow is all over the park is a good experience,5,2018-11-15
1663,Too busy and overpriced,we went to disneyland a few weekends before halloween it was our first visit to disney and to be honest probably our last it was hot overcrowded and overpriced our kids hated it and by the end of the day we were over it too the wait times to go on any ride was at least mins hours and wasn t enjoyable to say the least california adventure park was better less crowded less wait times and better rides for older kids ,3,2018-11-15
1664,mick mouse,what more can i say this is the home of micky mouse full of fun and fantasy we loved every minute is was our rd time there and never tire if it,5,2018-11-15
1665,Another great trip to Disney,we went over the long weekend in november and had another great trip yes disney is expensive but for our family they deliver for the costs and we had a great time going over the holiday when the park is decorated is in my opinion the best time of the year i love the music the special decorations and the holiday cheer we stayed on property and the extra hour in morning is great it is a bit hard to get going with the kids early but getting in early is nice you can knock out the busier rides get your fast passes i think the new max pass system is a nice upgrade from the older system it is easy to use to manage and makes for a good experience we had a birthday dinner at blue bayou for the first time we got a great water side seat that was fun and different the holiday parade is always special and my wife and i love it if i had a suggestion i really wish the food inside both parks was better fresher and healthier i do not mind a burger and fries but i think disney can do better we had lunch each day in downtown disney and found the options much better but still expensive we had some issue with rides but those happen splash mountain shut down as we were minutes from getting on but after going to guest services they gave us a anytime fast pass to make up for it and that was more than fair ,5,2018-11-14
1666,Too crowded not enough staff,we visited over the holiday in march with a big group of adults and kids the parking and bus to the resort were very good but things went down as we got into the queues for tickets the kids were well behaved and it was early morning after a long drive from vegas nearly one hour later we got to the booths to find the prices we also higher for the holidays feeling a bit ripped off we then had another long queue to get into the park itself once inside every ride was at least an hour wait the park felt too full and there were too few staff to cope with the numbers we almost left at that point deeper into the park it was quieter and after tempers cooled down the older more mature park structure began to appeal to us the trees and large original buildings were very impressive as were the lake and boat rides we finally had an enjoyable day and some of the basic rides like the train were really good i loved the hummingbirds and we got some great photos of them overall the park is a bit dated and too expensive but on the plus side the old parts are solid and impressive for a theme park they wouldn t build them that well nowadays ,3,2018-11-14
1667,"Fun, As Always, But Expensive",make sure you use fastpasses to save time waiting in line plan on doing a lot of walking and a lot of waiting if you can avoid eating in the park do so as the food is really overpriced also don t buy a mickey ears pretzel from the stand near the frozen theater the exact same pretzel that costs at many other if not all other locations in the park costs here i only discovered that after purchasing my pretzel ,4,2018-11-14
1668,"Fun, Fun and more Fun",did i say how much fun we had celebrated retirement by going to disneyland st visit and it was amazing indiana jones ride was awesome ,5,2018-11-14
1669,The place to be for Halloween,only saw a small part of the park as we were rushing to the candy stations during one of their halloween weekends it truly is a magical place so decorated so pretty so busy the lines are long for some rides sometimes you can get a picture with a princess if you stay long enough you can watch a parade and then the fantastic fireworks display over cinderella castle bring good walking shoes sunscreen water money and maybe a sweater for the cooler evenings ,5,2018-11-13
1670,A place where you will never age,thanks to my bff we have an annual pass always fun to go be a kid again but most importantly be happy at the happiest place on earth especially with the happiest bff one can ask for ,5,2018-11-13
1671,Second time to Disneyland,great for both kids and adults go early to get the most out of the trip since you ll probably be there all day ,5,2018-11-13
1672,Amazing,since i was a child i dreamed to go to disneyland it was an incredible experience and i get impressed of the service that they bring the employees are very kind and they always try to help you in everything they can altough when i visited the park there were a lot of people it did not matter because everything was very organized the only thing that i didn t like were the price and the quality of the food in some cases the food wasn t prepared adequately and the price was too expensive i think that they can improve a little bit on this i recommend this place for all the family because this kind of experiences are never forgotten ,5,2018-11-13
1673,Very busy,very very busy place took a while getting in due to the security bag checks but once through that had a great day only went on rides and waited an hour for each but rode around the park several times on the steam train good way of getting n idea of where everything is fairly expensive but i guess it is disney very clean and everyone seemed so happy ,4,2018-11-13
1674,Family time extraordinare!,disneyland is a true resort destination the sad part is that we had to visit on an extremely busy weekend the crowds were terrible the fast pass enabled us to see a lot more than we would have otherwise i would say i think they need to scrape tomorrow land and start over things are looking very dated ,4,2018-11-13
1675,Magical!,who does not love disneyland i can t believe how clean they keep it i ve been going here since the s and it has not aged you must visit in october and in december the light shows are amazing the castle is beautiful and i become a little girl again every time i visit ,5,2018-11-12
1676,"""Magical"" is Inadequate",we visited disneyland with our toddler and six year old it was an incredible experience for them especially when they got to meet around different characters and get their autographs the park is pristine and the app was a godsend be sure to enjoy a dole whip while you are there and catch the magic lots of shows for little kids to do besides waiting in line for rides which are all fantastic ,5,2018-11-12
1677,Amazing but CROWDED,it was a amazing place for those a fan of disney we went there at weekdays but still it s crowded long line like mins waiting i suggested that if you want to enjoy more rides get a fastpass even it s weekdays and more suitable for weekends it was worth it quick and to those lack of patience ,4,2018-11-12
1678,Crowded,let me preface this by saying i visited disney world last december and had an extra ticket that i was excited to use on my trip to anaheim disappointed does not even begin to describe my trip it was overcrowded people were sitting everywhere and you couldn t walk without bumping into someone the lines were ridiculous the only saving grace was that i got to take a picture with mickey this was a very expensive disappointing experience oh and some of the rides small world and others were closed for renovation ,2,2018-11-11
1679,Family SoCal trip,we traveled to california for a night vacation we purchased a day hopper pass to disney we were traveling with our son who is handicapped and our year old daughter it was very clear the first day we arrived at the park that the staff was very unsure how to help or answer questions we had we would get conflicting answers and some of the staff was rude it definitely did not have the vibe of the happiest place on earth very disappointed sad to spend that kind of money and feel like it was a waste ,2,2018-11-11
1680,Everyone loves Disneyland!,spent the day there in september with family and friends it s a kid s paradise and disney knows how to do it right not a single reason to not like this destination including the numerous hotels that are walking distance to the park ,5,2018-11-11
1681,Disney is all decorated for Christmas,beautifully decorated for the holiday season from the magic kingdom castle all lit up like an ice palace to the haunted mansions makeover disney does it right ,5,2018-11-11
1682,Halloween,park was busy halloween party was great if you can attend halloween party do it great event halloween party fireworks are great,5,2018-11-11
1683,Great Place But Changing,i have been going to disneyland for years still love the place it is a fun but horribly expensive vacation place for families it seems to me if disneyland is no longer catering to children and trying to cater to the year old age group characters were great with our grandchildren the evil queen from snow white was fantastic thanks cindy for letting us see her food is getting very expensive this place is a money making machine hope they quit raising prices on everything please don t take this as a negative review we had a great time i know change must occur but don t forget what brought you to this point it wasn t star wars it was cartoon characters that children fell in love with ,4,2018-11-11
1684,Beware the October crowds,i visited disneyland on october th and th i normally visit during the summer over the for two three days for the fourth of july i love the fireworks and it has become a family tradition i am the disney fanatic of my family and i am the person in the family that ensures that each child gets a trip to disneyland or disneyworld i have noticed over the past years or so that disney s service food and crowds have all gone through marked change and not towards the positive on this particular trip i flew my sister brother in law brother son and toddler niece for a weekend for my niece s first disney trip i had not visited in the fall in some years and was not prepared for the crowds when we arrived from our walk from our hotel the security line was almost to the main entrance on harbor boulevard we survived the hour wait to get to the security station by entertaining the two year old between the five of us when we finally got in we had to wait in another almost hour long line to get the das for my son he has a medical condition that makes it inadvisable to stand in crowded lines in close proximity with other people we had used the das on several of our other trips to disneyland and found the disneyland the best out of all of the places we had visited including disneyworld and universal studios this is a large part of why i continued visit disney even after he went through a life threatening experience he loves disney just as much as i do so i try to find ways to make sure he can still visit both parks were super packed and we quickly learned that everything was abnormal on this visit two members of our party kept falling off of the das they told me they were having glitches with the system that day the lines were ridiculously long like christmas time long e g pirates was a minute wait i rode a total of four rides between the two parks the entire day child swap was also not being utilized in ways that it had been previously we were told that one parent would have to wait outside the ride and then wait in the fast pass line by alone in order to ride which made for double the time and was no longer child swap so my sister and brother in law were able to ride a total of two rides each the lines for every restaurant quick service etc were tremendously long overall the entire trip was a lot of standing in line with little to show for it i am a disney veteran and have only experienced lines like this during christmas and new years at disneyworld when i go during those times i already have the expectation that i will not really be riding rides i go for the christmas activities and decorations this trip was unfortunately an expensive mistake this was my first disney experience where i had regrets for visiting the parks it was a disappointment all around i did talk to guest services waiting in line again about my initial issues with das not working i also wrote to disney about many of the numerous things that went wrong while i was there that i have not recounted in this review but have not received any response which is not disney like they are normally the gold standard for guest service this felt like an alternate reality disney experience for me and i sincerely hope it is not indicative of a new disney normal ,1,2018-11-10
1685,Mickeys halloween night,what a blast so fun but way too crowded fireworks and theme on castle during presentation is out of this world ,5,2018-11-10
1686,Happiest place on earth,i went to visit the park with a friend adults and we had a blast line times were leas than minutes there were a few rides closed and i was a bit disappointed in the lack of characters that were around the christmas parade was great and my first time seeing it much smaller park than disney world and easy to get around and see lots in one day ,5,2018-11-10
1687,"A Full-on Day of rides, fun and memories!",we bought a day pass for disneyland and california adventures between the we spent hours from opening to close while it was high price we made worth of it by visiting early where crowd was already building there was aa introductory max pass which was great as we could book time to go to a ride already only can be used once every hours or until its used since we used it early we got through most of the rides before noon however the app was very slow and used lot of battery so pretty much all our phones were dead by evening food was reasonably priced but delicious the hot cocoa is mind blowing and probably best we had in us make sure to be around for the show at pm which was brilliant and perfect closing just make sure to get there an hour early as spots book out and you re not allowed to stand around we came back exhausted but jubilant ,5,2018-11-10
1688,Brilliant!!,loved everything about the park from the staff and performers to the rides and shows we definitely got the magic of disney on our first visit to the park the maxpass and photopass features are definitely worth spending that little bit more for for the benefits they give you thanx to all concerned for giving us the magic of disney our only disappointments were firstly my daughter loves moana she was dressed as moana the day we were there and on the day we visited halloween moana wasn t there she was only around on weekends the other thing was that while we were going round the park we were getting coins pressed at each place we also got them done everywhere else we visited in america on our last day before going home as we were packing our cases we realised that all the coins from our first day ast disney were missing they d been left on the dresser in the hotel whereas all the other coins we d got had been put in my wife s sunglass case so the coins not put away we presume had been taken by the housekeeping staff my daughter was really upset ,5,2018-11-10
1689,"Don't believe that Disneyland will ever be a ""ghost town""",seriously so done with the magic of disneyland we took our kids to dl for the halloween party and then nov historically it s supposed to be a ghost town thurs but it wasn t fri was less busy than thurs i have given up on trying to find that perfect magical time to go our kids had a blast and we ll keep spinning it that way but the parents are so happy to check dl off the list it s really a shame that they let so many people in it really does take the magic out of it when you have to wait and wait for everything even if you do the fast pass you re still doing a lot of running around so in the end is it worth it on a positive note we did ride almost all the rides until our kids could not handle anymore over the days we loved the breakfast with minnie and friends at plaza inn i m so glad we did that on the last day because that truly made our kids trip we loved a lot of the rides they were doing maintenance on it s a small world so that was a bummer but thankfully dl knows how to do cool rides effects and character coolness i just really wish they wouldn t let so many people in there s got to be a way to balance that out it just feels like a greedy money machine the last few times i ve went ,3,2018-11-09
1690,Dreams definitely come true here,we spent three days here recently and had the best time staff were amazing park was clean food outlets rest rooms and water fountains were plentiful and easily accessible lines for the popular rides were long as was expected but the fast pass option made it a great day also being able to get all of the photos for free that are taken in the park made the max pass amazing value only downside was trying to get photos with the characters was not always easy as the times weren t always published on the app ,4,2018-11-09
1691,"A Classic, but Not Like Orlando",we re a disney family so traveling to disneyland park was not surprising however one cannot compare disneyland with walt disney world in orlando the park is small and claustrophobic it feels like too many rides in such a small amount of space it was nice because it was the original ,4,2018-11-09
1692,First annual,pleasant outing enjoyed strolling through the park very clean chose this time of year to avythe crowd good decision,5,2018-11-09
1693,THE HAPPIEST PLACE ON EARTH!!!,let me first start by saying that we are huge fans of all things disney so i would say that this review might be viewed as biased even though it is a hour drive for us to go to disneyland we have still purchased annual passes in the past and we have found ourselves going and times a year the best advice i can give is to plan plan plan we always smile when we go through the gates and hear people say things like where should we go now we already know where to go and in what order to go throughout our day in fact most days we have already been on all of the rides that we love times by then we go back to our hotel and take a nap and then come back for the rest of the day until closing and we usually do that for days in a row believe me when we are done with our vacation we need a vacation from our vacation because we are worn out we arrive at the park before the gates open and they have to chase us out of the park at the end of the day but when you pay so much money to go you ve got to get the most bang for your buck do your homework it will pay off best of luck hope you enjoy your disney vacation as much as we do ,5,2018-11-08
1694,California wedding and visit with Mickey,great place of course expect to spend lots of and go during the day night lighting is not nearly adequate enough ,5,2018-11-08
1695,Magical,no other place like it many of the rides i remembered from my first visit as a kid used max pass for pirates haunted mansion star tours no wait for tea cups and train short wait for nemo submarines pinocchio and dumbo daughter and granddaughter got to do all the princess stuff they wanted back at night and went on jungle cruise mr toads ride snow white ,5,2018-11-08
1696,It's Disneyland... What else is there to say?,i ve been going to disneyland since i was a kid i was able to go see california adventure during cast previews what can i say i ve lived through the ups and the downs of the park but it s disneyland and one of those places that just brings back so many good memories ,5,2018-11-07
1697,Fall break trip,we took our son to disneyland for fall break in october we had a good time spent two days at the park and one day at california adventure park near the park entrance avoid down town disney unless you want to spend extra time walking if you have some one that needs a wheel chair rental those are available at the main entrance of the park only and you will need to walk all the way through down down disney if you park in the wrong lot something that would be nice is a shuttle service from down town disney as well as the main park entrance we had a good time the park was very busy get the fastpass for the rides it will save you a lot of time standing in line the food was great at both parks this was a surprise parking was twenty buck daily i thought this was a bit high because i saw no security or any additional service to make this charge for parking worth the price if there was a shuttle service to both the park and down town disney it might help justify this cost most of the staff are very helpfu the other problem was the lack of electronic wheel chairs seems they only have enough to serve a few hundred people when there are thousands of people in the park daily i was not the only person in need of a electric chair there was a waiting list by am and they told me no powered chairs would be available till pm other than that the week was a blast invest in a few more electrical wheel chairs and offer a shuttle from down town disney and it would have been a perfect fall break ,5,2018-11-07
1698,"""Where the dreams come true""",a wonderfull place every age people can enjoy it ride that lasts all day i went with baby and had no problems ,5,2018-11-07
1699,Really the most Awesome Place on Earth,from the moment you walk into the park you are swept away to another time and place if you never go a single ride just walking thru disneyland is a joy to behold and if you think that sounds like hyperbole you would be wrong i have been going to disneyland since it opened and i still try to get there at least times a year walking down mainstreet with the shops and cable cars and often disney characters roaming the street is just too much fun my favorite rides are pirates of the caribbean it s a small world space mountain and always the haunted mansion the mickey mouse pretzels are always yummy and we love going to new orleans square for chowder in a bread bowl the price may seem high but when you think of the hours and hours of fun food fun rides and fun people watching it s actually a great deal go my friend be a kid again take your kids and be watch their fun disneyland is the happiest place on earth,5,2018-11-07
1700,Always amazing!,disneyland is always amazing what else can you say clean bathrooms and plenty of garbage cans just add to the awesome rides and the disney magic some cast members are more helpful then others but overall a great experience,5,2018-11-07
1701,A dream 4 days,we all had an awesome time from first thing in the morning to leaving late at night fast passes and single riders made queuing a time saver plus we went midweek a dream holiday,5,2018-11-07
1702,Still a worthwhile place to spend a day,although hardly changing in some areas of the park since i ve been coming here original visit in lived nearby in s periodic visitor ever since is still an attraction for all ages however i did feel a little uninspired unexcited and unimpressed with a number of rides the seasonal halloween christmas get up afforded to the haunted house is simply awful and a complete let down and to think some folks were waiting up to minutes to see this matterhorn a favourite thrill ride was closed the subs look dated the tiki room has been a favourite but the drop down roof swinging star is no longer part of the show the jungle cruise driver the only reason for adults to be entertained with corny dad jokes was bad she failed to annunciate her dad jokes clear enough through the mic for anyone to understand what the heck she was saying no one was even snickering because we couldn t understand her space mountain ride now completely in darkness there was a time when galaxies and planets were visible overall good but shows and rides getting shorter and cheaper with time ,3,2018-11-07
1703,1 TIME IS PROBABLY ENOUGH,as a native californian i m going to go out and say this is probably one of the best amusement parks out there by no means is it a thrilling one but it really hits the nail when it comes to feels most people get an overwhelming sense of stepping into the past or reliving their childhood disneyland is definitely there to engulf and rake in on that nostalgia prices are a bit steep but magic comes at a price dearie lots of shopping and foods to try definitely go try the pineapple dole whip there s a cult following things to keep in mind expensive crowded at times and loud best bet is to go during non peak season which is the time between school breaks spring summer winter and avoid major holidays eat at non peak times after pm bring snacks an empty water bottle to fill and a good attitude it will help ,5,2018-11-07
1704,Do it once...if you can 😂,oh disneyland what more can you say about the happiest place on earth not exactly the cheapest of amusement parks but probably if not the best am i biased probably as a native southern californian this park is near and dear to me if you re looking to relive some nostalgia and willing to blow a bit of cash then this place is for you crowds vary throughout the year but your best bet is to go during the slow season jan march avoid major holidays and school breaks spring summer winter crowds can be overwhelming and the wait times can often get pretty crazy minutes etc so be prepared wear comfortable shoes pack some light snacks and bring a good attitude it ll definitely help ,5,2018-11-07
1705,The Happiest place on earth ?,not a lot of seating for when you are line for rides the characters smile a lot but in the heat and crowds not a lot of other people where smiling ,4,2018-11-06
1706,Always magical,disneyland is a great place to vacation with young kids and family we went during mickeys halloween party and it so was much fun definitely recommend,5,2018-11-06
1707,My childhood dream come true,this place is magical enjoyed the food entertainment the shops rides i would suggest the app was extremely disappointing for rides the park can definitely afford more signs ,4,2018-11-06
1708,Saved the first for last,we ve been a disney family for a long time season pass holder stayed at the resorts visited all the parks last year we made it to california adventure loved them all but the one park we have never been to was the original disneyland park so last summer we loaded up the truck and made the trip back to anaheim to see what the big fuss was all a about we loved it it was pretty much just like disneyworld except a lot smaller maybe not as many dining choices but the rides and attractions were pretty close to the same with a few differences space mountain was a bit different not quite as much fun because you are in the dark the whole time other than that we really had a great time people in california keep saying the original park is the best i won t go that far but i will say it s a much easier day than disneyworld ,5,2018-11-06
1709,Wonderful - Loved Walking Where Walt Walked!,after trips a year to wsw and finally going to dl it was a dream come true could have picked a better time as the crowds were huge due to columbus day weekend and gay days but with kids following college high school work schedules it was the only time that worked for the of us so that we could see the haunted mansion set up as nightmare before christmas it just so happened that my son decided to propose to his girlfriend in front of the castle which was amazing and even more so thanks to the photopass people fantasyland was incredible small tight to get around but the charm was breathtaking you can feel walt s presence as he planned each and every detail with his imagineers the quaintness of all the fairytales we grew up hearing were all around us our kids ages from who still travel with us old people lol noticed it as well as us adults the lack of cm was amazing there was hardly anyone around to ask a question or directions not even a bathroom attendant and the bathrooms were disgusting in comparison to wdw when you did speak to a cm they were practically dismissive i understand it was probably one of their busiest weekends however as a disney trained cm please do not act as if you are working at six flags over the course of our stay we spoke to many cm as we ususally do the only friendly ones were east coast ones either they noticed the accents or just needed to vent as they all had something to as along the lines that ca is quite different and not the friendliest place like fl or the parks overseas so keep that in mind had i had this info prior i would have been prepared for the experience and would not have wasted any negativity on it and enjoyed the first day more i plan on going back and will definitely follow a crowd calendar prior to planning however halloween is nothing like it in wdw nothing beats it in ca ,4,2018-11-06
1710,35 years!,i hadn t been to disneyland in years and although i know a lot has changed the best thing is to get the fastpass a bit of juggling but not having to wait in line as long is worth the cost ,4,2018-11-06
1711,Dineyland Memories,we enjoyed a day at disneyland it was fun to remember all the past times we visited dinseyland when our kids were younger excited for the new star wars area there seem to be a lot of updates going on in the park we went on a day that they had a halloween party night about p m we decided to leave early as all the halloween people have started coming in and it was getting over crowded we did have a great time and did not have to wait over an hour for any ride we got holiday churros which were really yummy the pumpkin spice and the spicy cinnamon disney is always a fun place for families ,5,2018-11-06
1712,Its Disneyland.... happiest place on earth!,yeah you can complain about the crowds and the price and blah blah blah but in the end its disneyland happiest place on earth ,4,2018-11-06
