,Header,Review,Posted Date,Rating
765,"Amazing parade, amazing staff!","We went there for 2 days to make my daughter’s dream came true. Tokyo Disneyland did not disappoint! From the Frozen parade, Happiness is Here parade and the Night electrical parade...they are so magical and it’s so rewarding for me and my husband to see the look on my daughter’s face when she saw all the princesses and of course Elsa and Anna. With a 3.5 years old, it’s a bit hard for us to go for all rides and our goal to go there basically to share the Disney magic to our daughter. Yes there were some long queue as expected but it’s Disneyland!!!
One thing that I’m so grateful for are the staffs at the Lost and Found counter. On our last day at Disneyland, my husband lost our rental pocket wifi somewhere inside the restaurant when we had dinner earlier that night. We only realised this after we arrived at our next hotel as we moved hotel from Hilton Tokyo Bay to another hotel nearer to the city center. So he went back to Disneyland almost at 10 pm and the park about to close. Checked with the lost and found staff and at first they couldn’t find the item in their office so my husband had to fill up papers etc but the staff then said they will double check the restaurant again as it is possible the pocket wifi was still there and no one had handed it in (mind you this was almost 10.30 pm and all the patrons have left disneyland) and then they found it! Such an amazing service and we are very grateful!","Written March 30, 2018",5.0 of 5 bubbles
766,A fun day at Tokyo Disneyland,"One of my travel goals is to visit all Disneyland parks in the world. I must say Tokyo Disneyland is definitely the best one I ever visited so far.

The entire park is really clean and very organised. Yes, there are millions visitors here everyday. But I didn't feel disorganization at all. I wasn't too sure the day that we visited there is during Japan school holiday or not, but we did see a lot of youth/ students during the day. However, I am amazed how polite how educated these Japanese youth/ students are. For example, everyone is naturally line up for a photo opportunity. No one is cranky up, everyone is so happy while they are waiting. Once it's their terms, each group will take time to take their photos. People really respect each other. I have to say Japanese culture and social awareness are definitely at a different level compared with a lot of countries. I love it and I feel I can learn more from their culture to gain more value for my personal life.

There are few things I would recommended for visiting Tokyo Disneyland:

1. Take a Disneyland motor rail/Subway (Whatever you call it) to the park. It is located out of the Tokyo CBD area which it is quite expensive to take Taxi there compared with other public transportation. For example, It costs us around $150.00 AUD to reach to the place from Tokyo metro area (We were aware of the taxi can be bit costly, It is only because we were at a different suburb shopping in the morning. So we couldn't be bothered to find the motor rail station and that's fine for us to take the taxi). We did take the motor rail back to Tokyo station after the visit where the train station is just outside of the park. It is very convenience to travel with these motor rails in Tokyo. I think from memory, the ticket costs around 490Yen (Equivalent to $6 to $7 AUD) per person one way to Tokyo station.

2. Buy a Disneyland theme headpiece (I call it Mickymouse ears) and ware it during your visit regardless your age and your gender. It may sounds bit funny now, but trust me, you will feel funnier if you don't wear one while you are there. Everyone wears different ears in the park, everyone puts their effort in to make this visit even more enjoyable. A lot of students wear their school uniform purposely, so they can just be identical. Some people wear the same clothes, same shoes and carry the same type of bags. If you really don't buy it, at least wear your favorite one and take a photo to bring back some nice memory. Hey, it is Disneyland - A magical world for us...why don't we put little bit efforts in for this fun moment. Enjoy your life!

3. Take a 4 wheels cabin size suitcase - Yes, you read it correctly...A lot of people bring their suitcase (small size) with them during the visit. There are thousands cute things you can find there, especially people who love shopping like me... Again you wouldn't feel odd if you push a suitcase around in the park because a lot of people do the same. You will blend in while you are there. There are also lockers available if you don't want carry so many shopping bags around. Don't underestimated these gifts (Packaging of Japanese products are breathtaking, they are all well presented and pay attention to details)...Once you see them and you will lose control...like me : )

You will need a full day to visit Disneyland and another day for DisneySea. Take your time and enjoy it. If you have an opportunity, I recommended to stay at the Disneyland Resort for couple days.

We really enjoyed the day at the Tokyo Disneyland, Even my ""Boring"" boyfriend loved it and said me that he would like to stay at Disneyland resort for couple of days on our next visit to Tokyo ...Yeah!!! : )","Written March 29, 2018",5.0 of 5 bubbles
767,Too crowded! But still magical...,"We visited on a Monday which was not their domestic school holidays but there were still many students in the park.

Popular rides had an average queue of 1.5 to 2 hours. Make sure you go for the fast pass!

I have no issues with long queues as it is expected of Disneyland but this time I can’t help feeling that the speed of the ride when you get on is too fast. For example Winnie the Pooh, the cars felt rushed just zipping from one spot to another. Was not able to appreciate the ride fully in this instance. Somehow having been to so many Disneylands, this is the first time I felt that way.

Unfortunately for us 2 key attractions were closed - it’s a small world and haunted mansion.","Written March 29, 2018",3.0 of 5 bubbles
768,Disney was crowded,"Let me first start, by appreciating how organized and accessible is the arrival at Disney resort in Tokyo.
The staff welcome, and the neatness of the place is spectacular.

I thought at the entrance that it was not crowded because basically there was no waiting at the tickets. But the line for many games can stretch for an hour each, which was kind of not what I hoped so. However, Everything else was pleasant.
I recommend it for any family visiting Tokyo but they need to be prepared to wait for long at each game and they should avoid weekends.","Written March 28, 2018",4.0 of 5 bubbles
769,It was fun,"The theme park is out of the way so depending on where you’re staying in Japan, it could be a 45min + drive. If you love theme parks and live for Disney then please enjoy.","Written March 28, 2018",4.0 of 5 bubbles
770,Hell on earth,"Wife and I went on March 28 2018. Both very excited to live and breathe the magic of Disney. There was hardly any magic. Mostly it was hell on earth due to the IMMENSE crowding from school holidays. We had no choice but to go on this date; make sure you know when the japanese holidays are and never go on a holiday. Crowds were insane. 200 minute wait (yes two hundred minutes) for the more popular rides, even early in the day at around 1030am. Personally I don't understand why anyone would wait that long for a single 5 minute ride. Hungry? Lines for food are around thirty minutes. People were using window sills as tables to eat their food as all the tables were occupied. Fast passes all ran out by 1230pm. Also, the most ""thrilling"" coasters are all but underwhelming. Very very tame. Sudden left and right turns and that's about it. If you came here for thrill seeking you absolutely came to the wrong theme park.

My advice is to buy your Disneyland tickets in advance so you can enter the park without delay. Then, make sure you fully know how the fast pass system works so you can make the most of it, it will help with the queues. And don't come on a Japanese holiday.

All in all an unenjoyable day due to the ant-like crowding, taking away from the magical atmosphere that disney is supposed to have, and rides all aimed at children. Not for adults.","Written March 28, 2018",2.0 of 5 bubbles
771,Prepare to queue for hours,"I have been to Disneyland in California three times in the last 10 years and can say that the waiting times for popular rides in Tokyo Disneyland were a lot longer - it took me about 2.5 hours to get into the Splash Mountain. Between 10.30 in the morning and 6pm, I managed to get into 4 rides or shows. There were just too many people even on a school day. Even to buy food, there’s always queues.

It did not help that some parts were closed for construction. The electric parade was good and the travel to and from the venue was easy by trains.","Written March 28, 2018",2.0 of 5 bubbles
772,Go for it!,"I’ve wanted to take my Australian children to any of the Disneyland properties anywhere in the world for many years now. So to be here was a dream come true. To finally do this at the Tokyo Disneyland property was probably fortuitous, compared to, say, anecdotes about the American alternative experience. My recent experiences in Japan have all been blessed by the awesome gracious conduct of the Japanese people. So to see groups of young Japanese people really immersing themselves in the flavour of Disneyland, by dressing up accordingly, in pairs or mixed groups, reflecting their favourite Disney character or theme, was just simply charming. The Japanese do naivety so well! Nearly every visitor was thoroughly into their day’s experience, with their allegiances visibly shown by either their homework preparation or by their worn purchases. So do I really need to mention the ridiculously long queues or the great expense - you probably already know about these. But to share these cons with Japanese people was so much more bearable than it would be anywhere else in the world. Go for it!","Written March 27, 2018",4.0 of 5 bubbles
773,Crazy waiting times!,"We visited Tokyo Disneyland on Tuesday, 27 March. Thinking that it was a regular weekday, we thought that the place would not be very crowded. How wrong we were...
Due to a school holiday, the place was absolutely packed! We originally wanted to go to Disneysea but this was closed for day passes due to the high number of people. So we went to Disneyland instead but we should‘ve better just gone home. The lines were crazy! Even to buy an ice cream, you would have to queue for 30 minutes. Fasttrack passes on all good rides were gone and regular waiting times for popular rides were up to 4 hours! We ended up not going on a single ride. I am just not up for waiting in line for 3+ hours for one single ride.
We left the park one hour after entering and tried getting a refund - to no avail.
To anyone considering going - check the date first and if you go during peak season, go early and make sure you know the Fastpass system.
All in all, a terrible experience.","Written March 27, 2018",1.0 of 5 bubbles
774,"Lines, lines, lines...","Love Disney, love cheesy novelty, and don’t get me wrong; loved the experience of going here.

But it became an anxiety inducing and patience testing experience when everything single thing, whether toilets, food, ride or other attraction, had queues that up to 2.5 hours long (sign posts advise tourists of the anticipated wait time and the longest we saw 150 mins and many more close to this, posted).

Still, if you’re a Disney aficionado, it’s worth visiting. Just make sure to come on a day that you have nothing else on, and arrive early!","Written March 27, 2018",3.0 of 5 bubbles
775,"Fun, Tree house","Always feel great Disneyland, even though a long line. 1 day Passport 7400 yen (about US 70). I suggest when you get there in the morning. get a Fastpass first. (how to get a Fastpass look at Disney Sea) Usually assigned time is a couple of hours ahead. So once you get a pass then plan what to do next. We recommend either Pirates of a Caribbean or Jungle cruise, less waiting time. This time we tried the Tree House, where located in front of Tiki room. No lines and enjoyed a lot. Just up and down the Tree House, but felt so much nostalgic like been in a childhood again. When you are in Adventure land worth trying. Have a wonderful time there. If you prefer short lines, arrive there at 3 PM on weekends for Starlight passport, cheaper and less waiting, Because most of kids start going home by 4-5 PM. Park open till !0PM.","Written March 26, 2018",5.0 of 5 bubbles
776,Visiting in February?,"Tokyo Disneyland is absolutely brilliant! However, for those planning on heading to the park in February, please keep in mind that students are offered discounts to visit throughout the month, which means that it can get very crowded indeed. The longest queue we stood in was to buy our park tickets (we queued for 50 minutes or so after the gates opened) -- we would have cut this down substantially if we had pre-purchased our tickets, which is something we will do if/when we visit again.","Written March 23, 2018",5.0 of 5 bubbles
777,Great,"IT'S NOT ENGLISH FRIENDLY! But that's not a problem because everyone is very helpful.
The personnel is the nicest I ever met,very kind. It's my first visit to a Disney Park so I wouldn't know to compare but I loved it. Great for any age. If you are well organized I think you can do both parks Disneyland and Disneysea in 2 days. This time of year the average time of waiting for attraction was around 2 hours.","Written March 22, 2018",5.0 of 5 bubbles
778,The lines are insane,"Don’t get me wrong I am a huge Disney fan I have been to LA 3 times, Orlando and Paris twice, so was beyond excited to go to Tokyo with my 3 year old.
The lines - too much.
We got on a total of 3 rides That’s it
Dumbo
Star Wars and
Buzz!
And fast passes were closed at 11am!!
Lines were around 100-300 minutes long each ride. My 3 year old and I waited for 70 minutes to go on the Dumbo ride to me I found the lines for food for the toilet and for rides and believe it or not even lines to take a picture it was just unenjoyable.

If you do decide to go, go in with expectations of only 2 rides and if you can allow 2 days. But my advice would be to go to DisneySea instead that was much more enjoyable","Written March 21, 2018",2.0 of 5 bubbles
779,"Fun, but exhautsing","We really enjoy this park, but it is exhausting. Areas to just sit and relax are few and far between. A nice sit down restaurant would be lovely or even a coffee shop with just desserts so one could kick back for 30 minutes to recollect.","Written March 21, 2018",3.0 of 5 bubbles
780,Great fun!!!,"We came to Japan on a five day happy holiday and stayed in Shinjuku. We took a bus that goes straight to the resort which only took about 45 mins. We went on a Monday so it was packed!!! We stayed about seven hours with two young children but they had tons of fun. Most of the attractions like the 4D movie and performances were in mostly Japanese but still our kids loved it. Most lines were super long but they moved quickly. I don’t know why but the lines for popcorn were somehow longer than the lines for the attractions. My son wanted the milk chocolate popcorn and I stood in line for 45 mins and my wife and son actually finished two attractions before I even got to the front of the popcorn line. Go early as it opens at 8am and closes at 10pm. We didn’t go to the Sea part but that is for next time. Overall Disneyland is Disneyland, fun and enjoyable! Super friendly people!!!!","Written March 19, 2018",5.0 of 5 bubbles
781,Great fun but tiring,"The park is relatively small compared to the one at LA (the only other one that I've visited).
Popcorn tubs & flavours differ at each stall (Darth Vader head + salted popcorn @ Tomorrrowland, Cinderella Carriage+ chocolate popcorn@Fantasyland, Olaf + caramel popcorn @ Toontown, flying Dumbo tub is opp Pooh's house to name a few)

Food options wise
- the food at the Queen of Hearts Banquet hall (@Fantasyland) is over rated; but they do have a good q system whereby you q and pay AND pickup your food b4 you grab a seat.
- Huey, Dewey & Louie's good time cafe @Toontown does a good Mickey-head shaped pizza or a chicken bun
- if the weather is good, a picnic will be a good option.

Before your visit:
1. Check the weather & the Disneyland crowd calendar
2. Buy and print out your tickets
3. Check the park opening hours - may differ with seasons
4. Go early - aim to get there at least 45mins to 1 hour before opening time. The queue to go in forms more than an hour before the park opens.
5. Plan your route around the park esp if you have small children. There are height restrictions for certain rides.
6. Get a Fastpass for a ride the first thing you get into the park
7. Then go and Q for another ride.
8. Take note of the time that you can obtain another Fastpass (it will be written on the first Fastpass ticket)
9. Take note of the parade timings and bring a groundsheet (can be found at ¥100 stores) else can just use an open park map as a buffer between your butt and the floor.
10. Be prepared to be patient-There are long queues for the rides/shows, queues at most food outlets and long queues for the washrooms too.
Tip: there is a fab babycare/kiddycare room at tomorrowland with separate rooms for diaper changing, feeding, nursing and even for daddies and mummies to use. They sell baby food n snacks too!

Good luck!","Written March 19, 2018",4.0 of 5 bubbles
782,"It’s Disney, enough said","Here on vacation to take our 17 year old back to where she was born. So where does a teenager want to go while in Japan? Disney. We did not buy our tickets on line which ended up being a good thing. The line for ticket holders was very long! The line to buy tickets only had around 10 people. We timed it that when we bought the tickets the park opened at 8 and we were able to squeeze in at the front of the crowd.
Today is the first day for the kids in Tokyo spring break so I think every kid was here. Since it’s easy to get to by the JR train they just hop off and your here.
Everyone runs in and the staff asks them kindly to slow down and walk. That was not happening. Thunder mountain was already a 3 hour line and this place has only been open for 30 min!
Will go on a few rides but no way a 3 hour wait. Even the line for fast pass was an hour. Hey it’s Disney, you kind of expect it.
The price to get in is more reasonable than American Disney’s. And a child price is for 17 and below. Bring your passport to prove your kids are young as they asked me to produce ours.","Written March 18, 2018",5.0 of 5 bubbles
783,An American classic...in Japan,"We visited this park in January with our 3 kids (9, 10, and 12) -- an American family living in South Korea. It offers most of the tried-and-true favorites our kids love from the States, with a few fresh twists. One of the kids' favorite rides was Pooh's Hunny Hunt -- different than the Pooh rides stateside. While it was freezing during our late January visit, lines were short -- like a slow day in the States at a Disney park -- so I'd recommend wearing a down parka and braving the cold! Food is ""meh"", probably worse than the American parks, but that wasn't a surprise. We thought the flavored popcorn that is so hyped here was mediocre at best. Overall, though, a great experience, and while I would not make a special trip to this park from the US, it was fun to visit since we are living in Asia. True Disney nuts will want to check out DisneySea next door, as it offers an experience that is unique among the parks worldwide.","Written March 18, 2018",5.0 of 5 bubbles
784,Family visit,There were lots of family visitors which were with small kids. They rent buggy for children. They are building new atracción. We have to come back to see it.,"Written March 17, 2018",4.0 of 5 bubbles
785,Who doesn't love going to Disney,"It's been years since I was in Orlando Disney, so I was really looking forward to going to Tokyo Disney. I was not disappointed. Certain things were fairly similar/the same as the Orlando one, and some things had a Japanese touch which was nice. Yes, it was crowded, but when is Disney not crowded. The lines for the rides weren't ridiculously long (but they were at Disney Sea), so we were able to go on quite a few. The Fast Pass thing is convenient, but you've gotta plan carefully as you have to wait a certain amount of time after getting one Fast Pass before you can get another one. Also, you'll have to walk all over the park if you want to get Fast Passes for the rides they offer them for. I was disappointed that the characters in costumes aren't simply walking around the park for photo opportunities. Most of them simply appear at designated areas for a certain time, and the lines to have your picture taken w/them are quite long and in my opinion not worth it. We only had out picture taken w/two characters that were walking around; the others required lining up. The gift shops, though abundant, basically sold the same things in almost every shop which was disappointing. There were only a few unique gift shops, and I was hoping for more. The food wasn't bad, and the prices weren't quite as high as I expected, but being Disney, you know you're gonna pay a lot anyway.","Written March 15, 2018",5.0 of 5 bubbles
786,Disneyland in Winter 2018,One thing good about visiting Disneyland during winter was.. Lesser crowd even it was a weekend! The cons would be.. You probably might missed the night show if weather isn't good....,"Written March 15, 2018",5.0 of 5 bubbles
787,Fun Disney park but can be crowded,"We were able to go midweek and the weather was cold so I think this kept the major crowds away, but even with some fast pass options we had to wait for the main roller coasters. Our 3 kids still had a great time and the people watching was superb!","Written March 14, 2018",4.0 of 5 bubbles
788,nice themepark,"nice themepark for family
i was rain so we much spend our time at main lobby in tdl which has large canopy

we spent the birthday of my son there so we had the birthday sticker and bought the birthday tshirt for him

well compare to tds.. i prefer tds but if you go with young children this place is more child friendly","Written March 14, 2018",4.0 of 5 bubbles
789,Good for kids,"Disneyland was great, everyone needs to go once in a lifetime but I wont be in a rush to return. As it was just me and my partner there wasn’t a lot rides to go on as most rides are for children and the good rides have massive lines. I recommend going about half hour before opening as the lineup to get in is absolutely massive! Once you get in the park, straight away go and book a ride on the fast pass machines, research which rides you wanna do and book them straight away. Unfortunately you cant book multiple at once but whichever you want to do the most book that immediately. The fast pass gives you a one hour times slot for you to jump towards the front of the queue. If you dont book, you will be waiting at least an hour for every ride. Overall, after visiting here and Universal studios, I would say Universal was the better one.","Written March 13, 2018",3.0 of 5 bubbles
790,so fun,i loved the place. it was so much fun. we stayed till bout 9 and we had an amazing time. i def recommend this place,"Written March 10, 2018",5.0 of 5 bubbles
791,Nice for children,very nice. But there is no comparison to Disney sea which was on several levels above. I would have given up the Disneyland and go only to Disney sea.,"Written March 8, 2018",2.0 of 5 bubbles
792,Magical,"My two children loved the parades. Didn’t manage to get on many rides due to long queues. Most shows in Japanese so hard to follow. Had a good supper at the waffle shop, left early and didn’t wait for the fireworks at the end, as weather got too bitterly cold.","Written March 8, 2018",4.0 of 5 bubbles
793,Always enjoyed myself,"The trip was well worth it. Even though we didn’t have the time to finish all of our rides. Need to go again when we visit again. Love both Disneyland & Disneysea. Need to spend 2 days in each. For the kids, it’s never enough. Our friend’s kids never had enough of it and always asked to go back haha.","Written March 7, 2018",5.0 of 5 bubbles
794,Deppressed depply dissapointed and very deppressed,"Ok so I've never thought of giving a such a bad rate to something that I hold so close to my heart. But I need to say the truth.

I was having a bad time in my Tokyo Vacation, Japan is difficult to navigate and language is hard not many speak english and not to mention spanish so I thought well I need something to take the edge off. And I saw a poster for Tokyo Disneyland. I visited Disneyland when I was 8 years old and I remember little things but mainly that it was the happiest moment of my life. Period. And now in my 35 years of age I thought screw this: Im going to feel like a kid again. I want to take pictures with Belle, sing with Elsa, bother Gaston, yell ¡Andy is coming! and if everything goes well take a picture with Ariel. My favorite princess on the entire world, from first movie I saw in my life and that I held dear in my heart. I was so excited.

So I got to Disney Tokyo, lines were big but advance fast and easy I paid around 50 USD to enter it was 9:30 am I think and I saw a nice band swinging all the Disney Themes. My heart was filling with joy. I started to feel happy. A whole day of being a kid again and feeling happy.

I went to have breakfast to a Dinner like restaurant and they offered two courses, Chicken Curry and French Toast I already had a lot of curry in my Japan visit so I switched to French Toast and it was creamy and delicious. So I pull the map out and started to trace my visit. And noticed one pop corn stand! Natural & BBQ. Ok maybe pop corn later.

Star Wars first, it was a fun experience and the line was not very long I did around 20 - 25 mins. Another Pop Corn Stand Natural & Cheese.

So whats next, I went to Toon Land, oh another Pop Corn Stand Natural and Curry... this is funny maybe Japanese like their popcorn. I got to another attraction and it was more kid oriented. Oh well...I was thinking this doesnt seem like I remember I remember it was much more dynamic, and theres no characters out yet...maybe later...

Then an announcement in Japanese along the park started and then the translation in English. Something like: ""We are sorry to inform you that due to weather (snow) the Frozen event will be canceled..."" oh the irony Damn you Elsa!!!! Oh and guess what yup popcorn: natural and teriyaki.

Then started to cruise the park and something around 3 of 5 of the attractions were closed. And after walking around a bit more I ended where I started and saw the band. I think I counted 10 or 8 popcorn stands of different flavors, never found caramel the ones I like. And also no Dole Whip.

Now I think ok maybe Cinderella is in the castle. And nope. Mainly its a museum of the Cinderella story with pictures and the crystal slipper. And Cinderella looks like a sex doll with her mouth opened in a weird way.

To say I was dissapointed is quite an understatement I was actually deppressed. No princess was on sight the only character was Goofy and he was surrounded by a marabunta of visitors.

Maybe I remember Disneyland in a different way. Maybe it was a constructed memory. I think I dropped two or three tears for my former self. And went to the exit.

In conclusion: Theres stores of Disney merchandise everywhere, really few rides (that work). No characters. Lots of popcorn stands. The french toast was really good. And the ice cream parlor was closed. Screw me. Most deppresing place in the world. But hey I got the best french toast I ever had.","Written March 7, 2018",1.0 of 5 bubbles
795,A fun day out!,"We really enjoyed Disneyland, make sure to use the fast pass as much as possible - these helped us do all the big rides twice over. Its good to get the the evening light show early and find a seat, we were unlucky with the fireworks due to wind. We did get to see them but they were very far away and not behind the castle.","Written March 5, 2018",5.0 of 5 bubbles
796,Most amazing experience,"This was our first time at Disneyland. It was magical. we tried the smaller less busy rides first and the main attractions later in the day. We went in the winter, and it was extremely cold, so if you are going in the winter take a extra jacket or blanket for the evening fireworks.","Written March 4, 2018",5.0 of 5 bubbles
797,Great place and experience!,"The Tokyo Disneyland is an amusement park of the worldwide famous Disney parks.

The price of the ticket is around $65 usd you can reach the park via Subway or train.

The park has many adventure and character areas such as star wars, monsters inc,you story Etc...

It is and incredible place just like.if you were in the Disneyland of the United States.

Definitely if you have time and burger.in Tokyo you should visit it.","Written March 4, 2018",5.0 of 5 bubbles
798,Most Magical Day On Earth,"Tokyo Disneyland has to be one of, if not the, best Disney parks around. Showcasing classic rides such as Haunted Mansion, Space Mountain and the classic- It's A Small World it comes complete with spectacular efficiency and wonderful service from the Cast Members.

The food selections on offer are a blend of traditional Japanese to familiar Western and prices are generally what you'd expect. Portions are smaller than the US parks though which is worth bearing in mind.

Crowds are the biggest thing which does come to mind with the Tokyo Disney parks however you really have to just go with it. Your inside voice will be saying what the hell, it's a Thursday in February with no school holidays and its raining! The rides and queueing are so efficient that even with insane numbers and Fast Passes running out by 10.30 it will still be a manageable day with a bit of planning. Crowd calendars are really helpful as for a first visit it's definitely preferable to go on a lighter day and there are some good ones out there! If you do some planning, you'll have an absolutely incredible day (and try some amazingly quirky popcorn flavours too!)","Written March 3, 2018",5.0 of 5 bubbles
799,Fun Day Out,"Disneyland Tokyo is similar to other Disneylands with regards to the rides which it has to offer. The neon parade at night is impressive and worth staying for.
N.B. Be prepared for the crowds! I recommend going in as early as possible to be in with a chance at getting on some of the big rides and obtaining fast passes before they're gone. The queues get ridiculously busy. There was a 50 minute wait just to get on the Dumbo ride (a kid/toddler friendly ride) by midday and a 60 minute to get to meet Winnie the Pooh at Pooh's corner. Also there shows are in Japanese, not English","Written March 3, 2018",4.0 of 5 bubbles
800,good,Very good to enjoy with Family. Rides are very good. it was crowded on Non week end also. One day is not sufficient,"Written March 1, 2018",5.0 of 5 bubbles
801,Day trip to take baby on first Disney trip,"Absolutely fantastic. First Disney we’ve been to outside of Florida that felt like Disney although like a slightly mad version of it!
The lay out of the park is fantastic. It’s like all the good parts of Florida were used and made bigger. It seems to favour all the older more traditional Disney films which is just wonderful.
Absolutely loved that they had the characters Walking round the park meeting people like they used to at Florida.
It felt very crazy compared to Florida but so worth a visit.
They operate the old school fast pass ticket system so get there early to get your tickets as they stop issuing them very early in the day. Queues are slow otherwise.
Customer service was good although can you ever beat American customer service?
As a vegetarian family we really struggled to eat in Tokyo and this was also the case at Disney, with just 3 restaurants offering vegetarians options. One you had to have reservations for and the other was a coffee house so we were limited to one place and a plate of pasta. It was tasty but still very disappointing to no have the usual lush veggie burgers available at Florida Disney!
Our baby girl seemed to love the park and we took her on the flying elephants and teacups as a taster and ready for our June trip to Florida!
Everyone is as always very accommodating when you have a little one 😊
We are already planning to come back to Japan for a 2 week break and with a couple of nights staying on site at Disney! So can’t be that bad 👍","Written March 1, 2018",4.0 of 5 bubbles
802,いつも混んでる　Always crowded,"平日だから空いてるかと思いきや、やはりいつ訪れても混んでますね。大学が春休みのせいか学生が沢山いました。ファストパスはお昼過ぎには無くなっていました。

Many people!!
I don't know about other country's Disneyland but Tokyo Disneyland is always crowded. Even weekdays, it takes 40minutes at least to go on popular rides.","Written March 1, 2018",5.0 of 5 bubbles
803,Happiest Place In Tokyo,"Even though it was very crowded, everything was very well organised. The park is very clean, the staff were very helpful and friendly as well.","Written February 27, 2018",4.0 of 5 bubbles
804,Amazing just plan ahead,"Firstly I am huge Disney fan but I came here expecting not the typical Disney magic.

Boy was I wrong. The staff are all super happy. If they don’t speak English and 90% did they apologised and translated on phones or called someone over.

The park it’s self is beautiful. The castle is amazing. Rides wore fantastic, yes they had ques but what Disney park doesn’t.

Winnie the Pooh exclusive to Disneyland tokyo was probably the best fantastic.

Tips - arrive to the park early. 10 minutes before means nothing. If you have extra 15 minutes for staying in a Disney resort get there for 7:15 latest if not get there for 7am latest. Best Fastpass to get is Winnie the Pooh first as excellent for everyone and goes within 2 hours normally after that do what you wish but make sure you get a fast pass every 2 hours as saves so much time.

The parades are best I have seen I have been all but Shanghai but Tokyo just do it right. Parade was fantastic and electronic nightshow was out this world. Mind blowing. The fireworks at the end of the night wore nice but missed that Disney sparkle no real theme to it but still nice (fireworks can be seen from both parks and isn’t directly from castle to left of castle we stood next to Walt and Mickey bronze statue at centre of near entrance of park make sense when see and view was good.

Overall excellent experience highly recommend. Yes some rides in Japanese and don’t understand but it’s Disney you
Can get what’s going on.

Overall if your in between going just go you won’t regret it!

Last tip go for weekdays obviously check make sure not school holidays but time difference was about 45 minutes for best rides minimum wait time. Also stay in Disney resort if afford extra 15 minutes priceless.

Thank you disney tokyo excellent stay.","Written February 27, 2018",5.0 of 5 bubbles
805,It was crowded even on a Monday but we still loved the experience!,"Pros
1. It is Disneyland and the staff is amazingly cheerful
2. The park is very clean
3. It’s easy to get there via the subway system
4. While it’s crowded, the people obey etiquette by not screaming or pushing or cutting
lines
5. Fast Pass can save you hours
6. Relatively inexpensive (get your tickets via klook)
7. It’s a different experience than the US and much more civil than Shanghai

Cons
1. It’s crowded (we were there on Monday and it was still crowded)
2. Inefficient Fast Pass System (why can’t every Disney adopt Orlando’s Fast Pass
system?)
3. Shows and rides are mostly in Japanese (However, you are in Japan and that’s
what makes it a unique experience)
4. The food isn’t quite as good and the lines even for a churro are ridiculous

Tips
1. Get your tickets through klook as the park’s system doesn’t let you purchase tickets with your credit card
2. Be there early and take food. They search your bags and it says food is not allowed but people had food and they didn’t care.
3. Know it will be crowded and accept that fact or else you will be bummed out the whole day, so go with an open mind.
4. Take cash
5. When they first open, walk quickly to your favorite ride and get a fast pass. Line up for your second favorite ride. Finish that ride and then use your fast pass and get another ticket for your next favorite ride. Line up for your next favorite ride and repeat this process. Do this as quickly as possible or you will be screwed because wait times can be 2 and a half hours long for a ride even on a cold, chilly Monday in February!
6. Guys don’t stare at all the ladies because they all wear short schoolgirl outfits lol.","Written February 26, 2018",5.0 of 5 bubbles
806,The Happiest Place in Tokyo is Disneyland!,"Confession #1 - this was a highlight of our trip to go to Tokyo's Disneyland. Confession #2 - we went without kids. Confessions #3 - We stayed until they closed just to savor each moment! Confession #4 - We sang along with the singers during the Disney Light Parade!

And you will, too!","Written February 26, 2018",5.0 of 5 bubbles
807,After 6 passport and 1 day pass,"Disneyland hospitality is great. Visited over 2 days, 1 on after 6 passport and 1 on 1 day pass. After 6 passport was great for us to have a feel of the park before our full day visit. Popular rides are much less crowded, though the darkness prevented us from experiencing the park in its full grandeur. During the day, parked was so crowded, but the whole park experience was still great!","Written February 25, 2018",4.0 of 5 bubbles
808,Small park but wonderful,"If you have visited the other parks you will find this one small, however, it is nice and clean. It is a must see if you are in the area. On my bucket list to visit and well worth the travel.","Written February 24, 2018",5.0 of 5 bubbles
809,A must to do thing in Tokyo,"We arrived around 10am in the morning and left at about 7:30pm. This place was amazing, there's lots to do and see from the parades throughout the day
But a few famous rides were closed which was disappointing","Written February 23, 2018",4.0 of 5 bubbles
810,Magical,It's very exciting and everyone gets really into it! Adults and kids dress up. The food and drinks are expensive but worth it. The singing and dancing is great.,"Written February 23, 2018",5.0 of 5 bubbles
811,Gluten free food available!,"Utilise fast passes for rides so you don’t waste time. You can only use it on one ride every hour though so make sure it’s a good choice. Apparently several of their restaurants offer a meal with the 5 missing allergens. I can not confirm this as I only tried food at the “Queen of hearts” cafe. In terms of atmosphere and decor children and adults will love it. I showed staff my gluten free translation card and they were able to look up options for me in their digital system. I had roast chicken, vegetables and rice. It was nice to be able to get a proper meal at the theme park.
I visited the cafe near the entrance to the theme park with all of the Mickey Mouse cakes. The only gluten free option is a grape jelly that’s quite sour.","Written February 21, 2018",5.0 of 5 bubbles
812,It was OK!,All performance is delivered in Japanese. Less queue time as compared to Disney Sea. Limited rides. More for children. Many of the adult rides were closed for maintenance when we were there.,"Written February 18, 2018",3.0 of 5 bubbles
